destination_id,year,rows
10,1990,0
10,1991,0
10,1992,0
10,1993,0
10,1994,0
10,1995,0
10,1996,0
10,1997,0
10,1998,5020
10,1999,3481
10,2000,15997
10,2001,16287
10,2002,15361
10,2003,15486
10,2004,15998
10,2005,16269
10,2006,15794
10,2007,15971
10,2008,16080
10,2009,14360
10,2010,14235
10,2011,14691
10,2012,15828
10,2013,16373
10,2014,16474
10,2015,16789
10,2016,16919
10,2017,16748
10,2018,17126
10,2019,15770
10,2020,13232
10,2021,16597
10,2022,16509
10,2023,16555
10,2024,17107
10,2025,15956
10,2026,9249
20,1990,0
20,1991,0
20,1992,0
20,1993,0
20,1994,0
20,1995,0
20,1996,0
20,1997,0
20,1998,3108
20,1999,3379
20,2000,17077
20,2001,15010
20,2002,13956
20,2003,13576
20,2004,14030
20,2005,13954
20,2006,13802
20,2007,13473
20,2008,13589
20,2009,12452
20,2010,11655
20,2011,12336
20,2012,13391
20,2013,13446
20,2014,13165
20,2015,13523
20,2016,13554
20,2017,13550
20,2018,13608
20,2019,13608
20,2020,9985
20,2021,13596
20,2022,13122
20,2023,13211
20,2024,12916
20,2025,12597
20,2026,7540
33,1990,0
33,1991,0
33,1992,0
33,1993,0
33,1994,0
33,1995,0
33,1996,0
33,1997,0
33,1998,0
33,1999,0
33,2000,0
33,2001,0
33,2002,6548
33,2003,21250
33,2004,24406
33,2005,21465
33,2006,18994
33,2007,18764
33,2008,13549
33,2009,11648
33,2010,11628
33,2011,13788
33,2012,15636
33,2013,16255
33,2014,16466
33,2015,16121
33,2016,17544
33,2017,17340
33,2018,17437
33,2019,17629
33,2020,13044
33,2021,16955
33,2022,17684
33,2023,18809
33,2024,19720
33,2025,19109
33,2026,11058
40,1990,0
40,1991,0
40,1992,0
40,1993,0
40,1994,0
40,1995,0
40,1996,0
40,1997,0
40,1998,2711
40,1999,2563
40,2000,10755
40,2001,12474
40,2002,12650
40,2003,12395
40,2004,11722
40,2005,10731
40,2006,12258
40,2007,12003
40,2008,12113
40,2009,11566
40,2010,11497
40,2011,11960
40,2012,13040
40,2013,13293
40,2014,13214
40,2015,12865
40,2016,13350
40,2017,13504
40,2018,13606
40,2019,13065
40,2020,10368
40,2021,13608
40,2022,13554
40,2023,13446
40,2024,13563
40,2025,13695
40,2026,8030
50,1990,0
50,1991,0
50,1992,0
50,1993,0
50,1994,0
50,1995,0
50,1996,0
50,1997,0
50,1998,3309
50,1999,3209
50,2000,15039
50,2001,16066
50,2002,16556
50,2003,16370
50,2004,16343
50,2005,16890
50,2006,16258
50,2007,15817
50,2008,15798
50,2009,14859
50,2010,14213
50,2011,14529
50,2012,14640
50,2013,15364
50,2014,15325
50,2015,15203
50,2016,15224
50,2017,14608
50,2018,14387
50,2019,15000
50,2020,10683
50,2021,14651
50,2022,14679
50,2023,14403
50,2024,14270
50,2025,14580
50,2026,8516
61,1990,0
61,1991,0
61,1992,0
61,1993,0
61,1994,0
61,1995,0
61,1996,0
61,1997,0
61,1998,0
61,1999,0
61,2000,0
61,2001,0
61,2002,0
61,2003,6254
61,2004,6086
61,2005,6068
61,2006,6788
61,2007,6764
61,2008,6709
61,2009,6606
61,2010,6181
61,2011,6521
61,2012,6900
61,2013,7058
61,2014,7113
61,2015,7288
61,2016,7325
61,2017,7310
61,2018,7423
61,2019,7309
61,2020,5510
61,2021,7278
61,2022,7125
61,2023,7027
61,2024,7070
61,2025,7000
61,2026,4144
63,1990,0
63,1991,0
63,1992,0
63,1993,0
63,1994,0
63,1995,0
63,1996,0
63,1997,0
63,1998,0
63,1999,0
63,2000,0
63,2001,0
63,2002,0
63,2003,1784
63,2004,8347
63,2005,8313
63,2006,7429
63,2007,7709
63,2008,7628
63,2009,7486
63,2010,7105
63,2011,7519
63,2012,7901
63,2013,8048
63,2014,7923
63,2015,7980
63,2016,7884
63,2017,7802
63,2018,7781
63,2019,7783
63,2020,5605
63,2021,7809
63,2022,7800
63,2023,7615
63,2024,7115
63,2025,7052
63,2026,4221
70,1990,0
70,1991,0
