product_id,label,name,quality
501,Melon Cantaloupe # 14 - Primera,Melon Cantaloupe # 14,Primera
502,Melón Cantaloupe # 15 - Primera,Melón Cantaloupe # 15,Primera
503,Melón Cantaloupe # 16 - Primera,Melón Cantaloupe # 16,Primera
505,Melón Cantaloupe # 18 - Primera,Melón Cantaloupe # 18,Primera
506,Melón Cantaloupe # 22 - Primera,Melón Cantaloupe # 22,Primera
507,Melón Cantaloupe # 23 - Primera,Melón Cantaloupe # 23,Primera
508,Melón Cantaloupe # 27 - Primera,Melón Cantaloupe # 27,Primera
510,Melon Cantaloupe # 36 - Primera,Melon Cantaloupe # 36,Primera
512,Melón Cantaloupe # 45 - Primera,Melón Cantaloupe # 45,Primera
513,Melón Cantaloupe # 48 - Primera,Melón Cantaloupe # 48,Primera
516,Melón Cantaloupe sin clasificación - Primera,Melón Cantaloupe sin clasificación,Primera
519,Manzana Golden Delicious - Primera,Manzana Golden Delicious,Primera
522,Manzana Red Delicious - Primera,Manzana Red Delicious,Primera
526,Manzana Starking - Primera,Manzana Starking,Primera
529,Membrillo - Primera,Membrillo,Primera
534,Naranja Agria - Primera,Naranja Agria,Primera
536,Naranja March chica - Primera,Naranja March chica,Primera
537,Naranja March grande - Primera,Naranja March grande,Primera
538,Naranja March mediana - Primera,Naranja March mediana,Primera
539,Nanche - Primera,Nanche,Primera
546,Naranja Valencia chica - Primera,Naranja Valencia chica,Primera
549,Naranja Valencia grande - Primera,Naranja Valencia grande,Primera
551,Naranja Valencia mediana - Primera,Naranja Valencia mediana,Primera
554,Nectarina - Primera,Nectarina,Primera
556,Nopal grande - Primera,Nopal grande,Primera
560,Nopal - Primera,Nopal,Primera
563,Nuez cáscara de papel - Primera,Nuez cáscara de papel,Primera
565,Nuez - Primera,Nuez,Primera
566,Nuez - Western - Primera,Nuez - Western,Primera
567,Nuez Wichita - Primera,Nuez Wichita,Primera
607,Orégano - Primera,Orégano,Primera
609,Papaya Maradol - Primera,Papaya Maradol,Primera
620,Papaya Amarilla - Primera,Papaya Amarilla,Primera
623,Papaya Roja - Primera,Papaya Roja,Primera
626,Pera Bosco - Primera,Pera Bosco,Primera
630,Pera Ángel - Primera,Pera Ángel,Primera
632,Pera Bartlett # 135 - Primera,Pera Bartlett # 135,Primera
634,Pera D´anjou # 100 - Primera,Pera D´anjou # 100,Primera
635,Perejil - Primera,Perejil,Primera
638,Pera Lechera - Primera,Pera Lechera,Primera
639,Pera Mantequilla - Primera,Pera Mantequilla,Primera
640,Pera Paraíso - Primera,Pera Paraíso,Primera
645,Pera Asiática - Primera,Pera Asiática,Primera
646,Piña chica - Primera,Piña chica,Primera
648,Piña grande - Primera,Piña grande,Primera
651,Piña mediana - Primera,Piña mediana,Primera
655,Pistache - Primera,Pistache,Primera
663,Plátano Chiapas - Primera,Plátano Chiapas,Primera
665,Plátano Chiapas calidad exportación - Primera,Plátano Chiapas calidad exportación,Primera
666,Plátano Dominico - Primera,Plátano Dominico,Primera
670,Plátano Enano-Gigante - Primera,Plátano Enano-Gigante,Primera
723,Plátano Macho - Primera,Plátano Macho,Primera
727,Plátano Morado - Primera,Plátano Morado,Primera
728,Plátano Manzano - Primera,Plátano Manzano,Primera
731,Plátano Pera - Primera,Plátano Pera,Primera
732,Plátano Tabasco - Primera,Plátano Tabasco,Primera
736,Plátano Veracruz - Primera,Plátano Veracruz,Primera
740,Papa Alpha - Primera,Papa Alpha,Primera
748,Papa Galeana - Primera,Papa Galeana,Primera
749,Papa Gema - Primera,Papa Gema,Primera
753,Papa Marciana - Primera,Papa Marciana,Primera
766,Papa Rouset - Primera,Papa Rouset,Primera
767,Papa San José - Primera,Papa San José,Primera
771,Pepino - Primera,Pepino,Primera
774,Pitaya - Primera,Pitaya,Primera
775,Rábano - Primera,Rábano,Primera
783,Sandía Blanca - Primera,Sandía Blanca,Primera
785,Sandía Charleston - Primera,Sandía Charleston,Primera
787,Sandía Sangría - Primera,Sandía Sangría,Primera
791,Sandía Jubilee - Primera,Sandía Jubilee,Primera
795,Sandía Negra - Primera,Sandía Negra,Primera
796,Sandía Peacock - Primera,Sandía Peacock,Primera
799,Sandía Rayada - Primera,Sandía Rayada,Primera
800,Tamarindo - Primera,Tamarindo,Primera
804,Tejocote - Primera,Tejocote,Primera
811,Toronja Blanca - Primera,Toronja Blanca,Primera
823,Toronja Roja mediana - Primera,Toronja Roja mediana,Primera
824,Toronja Roja - Primera,Toronja Roja,Primera
832,Toronja Rosada - Primera,Toronja Rosada,Primera
836,Tomate Bola - Primera,Tomate Bola,Primera
839,Tomate Saladette - Primera,Tomate Saladette,Primera
842,Tomate Verde - Primera,Tomate Verde,Primera
845,Tuna Blanca - Primera,Tuna Blanca,Primera
848,Tuna - Primera,Tuna,Primera
851,Uva Blanca - Primera,Uva Blanca,Primera
852,Uva Cardenal - Primera,Uva Cardenal,Primera
854,Uva Calmeria - Primera,Uva Calmeria,Primera
857,Uva Flame - Primera,Uva Flame,Primera
858,Uva Globo - Primera,Uva Globo,Primera
861,Uva Moscatel - Primera,Uva Moscatel,Primera
862,Uva pasa - Primera,Uva pasa,Primera
863,Uva Perlette - Primera,Uva Perlette,Primera
866,Uva Queen - Primera,Uva Queen,Primera
869,Uva sin semilla - Primera,Uva sin semilla,Primera
871,Uva Superior - Primera,Uva Superior,Primera
872,Uva Thompson - Primera,Uva Thompson,Primera
876,Yerbabuena - Primera,Yerbabuena,Primera
878,Zanahoria leña - Primera,Zanahoria leña,Primera
880,Zanahoria mediana - Primera,Zanahoria mediana,Primera
884,Zanahoria polvo - Primera,Zanahoria polvo,Primera
888,Zapote - Primera,Zapote,Primera
891,Zarzamora - Primera,Zarzamora,Primera
